frame_number,x,y,z,yaw
3476,194.01844787597656,156.28297424316406,2.4514000415802,-90.11553192138672
3477,194.01712036132812,155.12161254882812,2.4514541625976562,-90.11495208740234
3478,194.0158233642578,153.92039489746094,2.451509714126587,-90.11394500732422
3479,194.0144500732422,152.67990112304688,2.4515645503997803,-90.11278533935547
3480,194.01300048828125,151.40066528320312,2.451617956161499,-90.11163330078125
3481,194.0115966796875,150.08316040039062,2.4516687393188477,-90.11056518554688
3482,194.0100555419922,148.74026489257812,2.4523494243621826,-90.09884643554688
3483,194.00845336914062,147.3977813720703,2.453558921813965,-90.0712890625
3484,194.0071563720703,146.05868530273438,2.4545187950134277,-90.04525756835938
3485,194.00624084472656,144.72317504882812,2.455172300338745,-90.02716827392578
3486,194.005615234375,143.3909912109375,2.455597162246704,-90.01705169677734
